Rack-No;MOC-No                  ;Project-Name;Proposal ;Approval;Complete;Operate;MOC-Closed;Leader;Status;Type;ISO-Register-No;Hazop;Remark;
156; 035/MOC/UTL/I/2017 ; Plant automation valve ; F ; F ; F ; F ;F;MMI;F;O;26/ISO/MOC/XII/2017;;;
157; 036/MOC/SG/VI/2017 ; Additional interlock C-011/018 ; F ; F ; F ; F ; F ;SLK;F;O;33/ISO/MOC/V/2018;;;
158; 037/MOC/SGU/VIII/2017 ; Modification line to clean AFC E-018 ; F ; F ; F ; F ; F ;YUL; F ;O;34/ISO/MOC/V/2018;;;
159; 038/MOC/OCT/VIII/2017 ; Additional filter at line after FC-4305 ; F ; F ; F ; F ; IP ;EST; F ;O;43/ISO/MOC/V/2021;;;
160; 039/MOC/UTL/VIII/2017 ; Additional New pump P-931D (Feed RO Unit) ; F ; F ; F ; F ; F ;EST; F ;O;27/ISO/MOC/XII/2017;;;
161; 040/MOC/UTL/IX/2017 ; Install ejector ; F ; F ; F ; F ; F ;EST; F ;O;44/ISO/MOC/V/2021;;;
162; 041/MOC/UTL/IX/2017 ; Connecting cable to information system from 3D trasar to DCS ; F ; F ; F ; F ; F ;GPA; F ;O;28/ISO/MOC/XII/2017;;;
163; 042/MOC/UTL/IX/2017 ; Additional of F-412A (series with existing F-412) ; F ; F ; F ; F ; F ;MMI; F ;O;29/ISO/MOC/XII/2017;;;
164; 043/MOC/OCT/IX/2017 ; Modification line FWS to spray AFC E-425 ; F ; C ; C ; C ; C ;EST; C ;O;Cancel;;;
165; 044/MOC/OCT/X/2017 ; Modification of line P-511A ; F ; IP ; IP ; IP ; IP ;YMA; C ;O;Cancel;;;
166; 045/MOC/OCT/X/2017 ; Additional of filter F-411 (inlet D-411) ; F ; F ; F ; F ; F ;EST; F ;O;45/ISO/MOC/V/2021;;;
167; 046/MOC/OCT/XI/2017 ; Additional filter F-417 (discharge P-417B) ; F ; F ; F ; F ; F ;YMA; F ;O;32/ISO/MOC/V/2018;;;
168; 047/MOC/SGA/X/2017 ; DCS control LC-0281 (C-018 separator) ; F ; F ; F ; F ; F ;DNI; F ;O;37/ISO/MOC/VII/2019;;;
169; 048/MOC/EI/IV/2018 ; Upgrade combustion control for H-921 ; F ; C ; C ; C ; C ;SAM; C ;O;Cancel;-;Replace with MOC No. 056/MOC/SGU/XI/2018;
170; 049/MOC/UTL/III/2018 ; Modification of circulation line PPL liquid from E-719 ; F ; F ; F ; F ; F ;EST; F ;O;35/ISO/MOC/VIII/2018;;;
171; 050/MOC/SGU/IV/2018 ; Additional line feed stock from stack H-922 ; F ; F ; F ; F ; F ;YSY; F ;O;46/ISO/MOC/V/2021;;;
172; 051/MOC/OCT/IV/2018 ; Additional line of chilled water to E-166 (double pipe T-160) ; F ; C ; C ; C ; C ;EST; Hold ;O;;-;;
